Start,End
4/29/2014 16:16,4/29/2014 17:31
5/13/2014 21:35,5/13/2014 22:57
5/17/2014 18:26,5/17/2014 19:49
5/18/2014 7:09,5/18/2014 7:41
5/19/2014 1:32,5/19/2014 2:49
5/19/2014 6:12,5/19/2014 7:30
5/24/2014 15:37,5/24/2014 15:39
5/24/2014 18:10,5/24/2014 18:23
5/24/2014 19:15,5/24/2014 19:41
5/25/2014 4:36,5/25/2014 10:23
6/6/2014 14:28,6/6/2014 15:36
6/7/2014 9:15,6/7/2014 10:34
6/10/2014 22:15,6/10/2014 23:10
6/11/2014 1:54,6/11/2014 2:36
6/13/2014 10:20,6/13/2014 12:16
6/13/2014 16:24,6/13/2014 17:16
6/13/2014 20:35,6/13/2014 23:23
6/15/2014 5:16,6/15/2014 6:46
6/15/2014 10:08,6/15/2014 12:27
6/16/2014 20:55,6/16/2014 21:36
6/17/2014 2:34,6/17/2014 4:00
6/18/2014 12:54,6/18/2014 13:20
6/19/2014 5:23,6/19/2014 5:29
6/20/2014 19:18,6/20/2014 19:57
6/20/2014 21:21,6/20/2014 21:44
6/23/2014 17:47,6/23/2014 17:55
6/26/2014 15:26,6/26/2014 16:31
6/26/2014 22:12,6/26/2014 23:07
6/27/2014 18:56,6/27/2014 21:19
6/28/2014 23:15,6/28/2014 23:40
7/1/2014 22:16,7/1/2014 22:48
7/2/2014 2:13,7/2/2014 2:37
7/4/2014 18:09,7/4/2014 19:07
7/4/2014 21:27,7/4/2014 22:35
7/6/2014 21:17,7/6/2014 22:27
7/8/2014 4:23,7/8/2014 5:50
7/11/2014 12:52,7/11/2014 13:57
7/13/2014 20:45,7/13/2014 22:30
7/22/2014 23:36,7/23/2014 1:05
7/24/2014 3:13,7/24/2014 4:38
7/30/2014 8:55,7/30/2014 10:10
8/1/2014 9:48,8/1/2014 11:43
8/5/2014 8:07,8/5/2014 9:32
8/9/2014 4:29,8/9/2014 5:30
8/19/2014 3:53,8/19/2014 4:33
8/19/2014 6:35,8/19/2014 8:22
8/19/2014 15:09,8/19/2014 17:18
8/19/2014 19:07,8/19/2014 19:54
