Day,Hours,Effort
735722,1.74,24
735723,0.532800001,24
735724,0.0168,24
735725,0,24
735726,0,24
735727,0,24
735728,0,24
735729,0.254400001,24
735730,0,24
735731,0,24
735732,0,24
735733,0.081599999,24
735734,0,24
735735,0,24
735736,0,24
735737,0,24
735738,0,24
735739,0,24
735740,0,24
735741,0,24
735742,0,24
735743,1.416,24
735744,0.0168,24
735745,0,24
735746,0,24
735747,0,24
735748,0,24
735749,0,24
735750,0,24
735751,0,24
735752,0,24
735753,0,24
735754,0,24
735755,0,24
735756,0,24
735757,0,24
735758,0,24
735759,0,24
735760,0,24
735761,0,24
735762,0,24
735763,0,24
735764,0,24
735765,0,24
735766,0,24
735767,0,24
735768,0,24
735769,0,24
735770,0,24
735771,0,24
735772,0,24
735773,0,24
735774,0,24
735775,0,24
735776,0,24
735777,0,24
735778,0,24
735779,0,24
735780,0,24
735781,0,24
735782,0,24
735783,0,24
735784,0,24
735785,0,24
735786,0,24
735787,0,24
735788,0,24
735789,0,24
735790,0,24
735791,0,24
735792,0,24
735793,0,24
735794,0,24
735795,0,24
735796,0,24
735797,0.369599999,24
735798,0,24
735799,0,24
735800,0,24
735801,0,24
735802,0,24
735803,0,24
735804,0,24
735805,0,24
735806,0,24
735807,0,24
735808,0,24
735809,0,24
735810,0,24
735811,0,24
735812,0,24
735813,0,24
735814,0.0168,24
735815,0,24
735816,0,24
735817,0,24
735818,0,24
735819,0,24
735820,0,24
735821,0,24
735822,0,24
735823,0,24
735824,0,24
735825,0,24
735826,0,24
735827,0,24
735828,0,24
735829,0,24
735830,0,24
735831,0,24
735832,0.0504,24
